,name,rating,reviews,description,descriptor,Location,type,places,cafe,bar,spa,lodging,restaurant,food,point_of_interest,establishment,bakery,store,night_club,book_store,tourist_attraction,florist,liquor_store,movie_rental,electronics_store,home_goods_store,movie_theater,gym,health,parking,gas_station,car_wash,convenience_store,car_repair,art_gallery,park,meal_takeaway,meal_delivery,locality,political,general_contractor,police,laundry
64,Topkapı Sarayı,4.6,564,Salas con mosaicos y jardines palaciegos,Museo,Fatih,0,20,20,2,1,1,14,20.0,20,20,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Yıldız Palace Museum,4.1,170,Lujoso palacio otomano del siglo XIX,Museo,Beşiktaş,3,20,20,1,0,0,6,20.0,20,20,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Çemberlitaş Hamamı,4.0,2345,Hamán de 1584 con tratamientos de spa,Museo,Fatih,3,20,20,3,1,1,12,20.0,20,20,4,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Cuerno de Oro,4.7,993,Estuario relevante con tiendas y parques,Espacio natural,Istanbul,4,20,20,0,0,0,4,20.0,20,20,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,ViaSea Aquarium,4.1,2656,"Parque de atracciones, acuario, montaña rusa, puerto deportivo y parque",Parque de atracciones,Tuzla,6,20,20,1,0,0,2,20.0,20,20,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Belgrade Forest,4.7,2067,"Bosque, naturaleza, acampada, carrera a pie y parque",Parque,Sarıyer,4,10,10,0,0,0,0,10.0,10,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Bağdat Avenue,4.6,575,Animada avenida con tiendas y restaurantes,Espacio de interés,Bağdat,0,20,20,1,0,0,4,20.0,20,20,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
71,Yoros Castle,4.5,982,"Castillo, historia y arquitectura",Espacio histórico,Beykoz,0,8,8,0,0,0,2,8.0,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Şehzade Cami,0.0,0,Mehmed II y arquitectura,Espacio histórico,Fatih,1,20,20,1,0,0,8,20.0,20,20,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Yavuz Sultan Selim Bridge,4.3,4832,Uno de los puentes más altos del mundo,Obra moderna,Beykoz,1,8,0,0,0,0,0,0.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
